2018-12-25 20:01:27,598 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.tedu.servlet:day06-lab:0.0.1-SNAPSHOT @ D:\workspace\src\springmvc\springmvc\day06-lab\pom.xml.
2018-12-25 20:01:29,246 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /day06-lab/src/main/java
2018-12-25 20:01:29,247 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /day06-lab/src/main/resources
2018-12-25 20:01:29,248 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /day06-lab/src/test/java
2018-12-25 20:01:29,248 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /day06-lab/src/test/resources
2018-12-25 20:01:31,104 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.tedu.servlet:day06-lab:0.0.1-SNAPSHOT @ D:\workspace\src\springmvc\springmvc\day06-lab\pom.xml.
2018-12-25 20:01:31,275 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for day06-lab
2018-12-25 20:01:31,295 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2018-12-25 20:01:31,702 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 20:01:31,712 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-25 20:01:31,717 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 20:01:31,721 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-25 20:01:32,442 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 20:01:32,486 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-25 20:01:32,509 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 20:01:32,511 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-25 20:01:32,677 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.tedu:Demo:0.0.1-SNAPSHOT @ D:\workspace\src\springmvc\springmvc\Demo\pom.xml.
2018-12-25 20:01:32,926 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.tedu.servlet:day06-lab:0.0.1-SNAPSHOT @ D:\workspace\src\springmvc\springmvc\day06-lab\pom.xml.
2018-12-25 20:01:33,157 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.tedu.servlet:day06-lab:0.0.1-SNAPSHOT @ D:\workspace\src\springmvc\springmvc\day06-lab\pom.xml.
2018-12-25 20:01:33,277 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cn.tedu:Demo:0.0.1-SNAPSHOT @ D:\workspace\src\springmvc\springmvc\Demo\pom.xml.
2018-12-25 20:01:34,037 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 20:01:34,039 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-25 20:01:34,042 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 20:01:34,044 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-25 20:01:34,081 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 20:01:34,083 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-25 20:01:34,085 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 20:01:34,087 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
